#molid 	 transid 	 up->low 	 freq., GHz 	 tau 	 Excitation temperature
2 	 83 	 34 -> 30 	 8.230828e+02 	 1.527796e+03 	 1.406963e+02
2 	 84 	 35 -> 31 	 6.561647e+02 	 3.858265e+02 	 1.136697e+02
2 	 85 	 35 -> 27 	 1.377476e+03 	 3.415656e-01 	 4.545005e+01
2 	 86 	 35 -> 24 	 1.862278e+03 	 1.697781e+00 	 5.640821e+01
2 	 87 	 35 -> 17 	 2.710549e+03 	 1.025226e+00 	 7.100138e+01
2 	 88 	 36 -> 35 	 6.007400e-01 	 2.407004e+00 	 3.413818e+00
2 	 89 	 36 -> 32 	 6.564646e+02 	 3.782740e+02 	 1.148484e+02
2 	 90 	 36 -> 30 	 1.113806e+03 	 4.960783e-01 	 3.987880e+01
2 	 91 	 36 -> 23 	 2.079447e+03 	 1.221020e+00 	 5.937497e+01
2 	 92 	 36 -> 20 	 2.537688e+03 	 1.355255e+00 	 6.842888e+01
2 	 93 	 37 -> 33 	 8.402757e+02 	 1.526094e+03 	 1.391466e+02
2 	 94 	 38 -> 37 	 3.729862e+02 	 1.306963e+01 	 7.724989e+01
2 	 95 	 38 -> 34 	 8.968051e+02 	 1.547890e+03 	 1.203140e+02
2 	 96 	 39 -> 35 	 7.292125e+02 	 4.665726e+02 	 8.438360e+01
2 	 97 	 39 -> 33 	 1.335792e+03 	 3.739063e-01 	 3.933590e+01
2 	 98 	 39 -> 30 	 1.842418e+03 	 1.961573e+00 	 5.062221e+01
2 	 99 	 39 -> 23 	 2.808059e+03 	 1.162721e+00 	 6.457097e+01
2 	 100 	 40 -> 39 	 1.113190e+00 	 1.402184e+00 	 6.476223e+00
2 	 101 	 40 -> 36 	 7.297250e+02 	 4.628012e+02 	 8.448283e+01
2 	 102 	 40 -> 34 	 1.020448e+03 	 5.754599e-01 	 3.322067e+01
2 	 103 	 40 -> 27 	 2.107801e+03 	 1.327502e+00 	 5.387904e+01
2 	 104 	 40 -> 24 	 2.592603e+03 	 1.626163e+00 	 6.198274e+01
